"","D2_indiv","D1_indiv","logl_ratio","num_loc"
"147","M145489","M145636",-11.3386017329406,91
"148","M145489","M145637",-11.0620986162926,93
"149","M145489","M145638",-12.8494572108077,92
"150","M145489","M145639",-18.127874878699,92
"151","M145489","M145640",-5.89924673482637,79
"152","M145489","M145641",-17.0740651873973,93
"153","M145489","M145642",-16.2995240154554,92
"154","M145489","M145643",-13.4434913960207,93
"155","M145489","M145644",-18.1127555943661,92
"156","M145489","M145645",-9.1610532864568,93
"157","M145489","M145646",-10.3030380424276,93
"158","M145489","M145647",-19.5199403767611,93
"159","M145489","M145648",-22.3810066022183,91
"160","M145489","M145649",-13.6593446016105,93
"161","M145489","M145650",-18.7446845739046,93
"162","M145489","M145651",-3.34168068429504,93
"163","M145489","M145652",-17.1149453101091,93
"164","M145489","M145653",-22.8090957704632,93
"165","M145489","M145654",-22.8020628704817,93
"166","M145489","M145655",-15.2193510935686,93
"167","M145489","M145656",-18.1301680311523,92
"168","M145489","M145657",-13.8596540522383,92
"169","M145489","M145658",-12.7652603496207,92
"170","M145489","M145659",-20.2529348795832,93
"171","M145489","M145660",-10.4402791421588,92
"172","M145489","M145661",-15.7268982072006,93
"173","M145489","M145662",-18.2793980395809,93
"174","M145489","M145663",-13.9627250385955,93
"175","M145489","M145664",-16.8999357011278,93
"176","M145489","M145665",-11.6042027940726,93
"177","M145489","M145666",-12.9594321440796,93
"178","M145489","M145667",-12.4308337151466,93
"179","M145489","M145668",-7.88158099367426,91
"180","M145489","M145669",-10.7174658751234,92
"181","M145489","M145670",-20.839904068136,92
"182","M145489","M145671",-15.0141286221639,93
"183","M145489","M145672",-15.2460936909663,93
"184","M145489","M145673",-3.14892564187454,93
"185","M145489","M145674",-13.2102090020882,93
"186","M145489","M145675",-18.5431710682596,93
"187","M145489","M145676",-9.56529171421276,93
"188","M145489","M145677",-18.8333395404582,93
"189","M145489","M145678",-15.9496906111367,93
"190","M145489","M145679",-5.61620947339071,60
"191","M145489","M145680",-20.872172623496,93
"192","M145489","M145681",-20.2089514380578,84
"193","M145489","M145682",-10.6250203594391,92
"194","M145489","M145683",-10.9645671196952,92
"195","M145489","M145684",-17.3454851626351,93
"196","M145489","M145685",-15.9085689399032,93
"197","M145489","M145686",-12.772740825825,92
"198","M145489","M145687",-10.7765074223825,92
"199","M145489","M145688",-15.2422907896842,93
"200","M145489","M145689",-9.23714248135131,93
"201","M145489","M145690",-20.3008474029925,93
