"","LocationYear","Location","Date_Time","Date","Time","Temp_C","Year","n_day"
"184","Big Sur 2024","Big Sur",2024-08-20 03:15:00,2024-08-20,03:15:00,15.36,"2024",2043
"185","Big Sur 2024","Big Sur",2024-08-20 03:20:00,2024-08-20,03:20:00,15.4,"2024",2043
"186","Big Sur 2024","Big Sur",2024-08-20 03:25:00,2024-08-20,03:25:00,15.44,"2024",2043
"187","Big Sur 2024","Big Sur",2024-08-20 03:30:00,2024-08-20,03:30:00,15.4,"2024",2043
"188","Big Sur 2024","Big Sur",2024-08-20 03:35:00,2024-08-20,03:35:00,15.4,"2024",2043
"189","Big Sur 2024","Big Sur",2024-08-20 03:40:00,2024-08-20,03:40:00,15.4,"2024",2043
"190","Big Sur 2024","Big Sur",2024-08-20 03:45:00,2024-08-20,03:45:00,15.4,"2024",2043
"191","Big Sur 2024","Big Sur",2024-08-20 03:50:00,2024-08-20,03:50:00,15.36,"2024",2043
"192","Big Sur 2024","Big Sur",2024-08-20 03:55:00,2024-08-20,03:55:00,15.4,"2024",2043
"193","Big Sur 2024","Big Sur",2024-08-20 04:00:00,2024-08-20,04:00:00,15.36,"2024",2043
"194","Big Sur 2024","Big Sur",2024-08-20 04:05:00,2024-08-20,04:05:00,15.31,"2024",2043
"195","Big Sur 2024","Big Sur",2024-08-20 04:10:00,2024-08-20,04:10:00,15.36,"2024",2043
"196","Big Sur 2024","Big Sur",2024-08-20 04:15:00,2024-08-20,04:15:00,15.31,"2024",2043
"197","Big Sur 2024","Big Sur",2024-08-20 04:20:00,2024-08-20,04:20:00,15.36,"2024",2043
"198","Big Sur 2024","Big Sur",2024-08-20 04:25:00,2024-08-20,04:25:00,15.31,"2024",2043
"199","Big Sur 2024","Big Sur",2024-08-20 04:30:00,2024-08-20,04:30:00,15.27,"2024",2043
"200","Big Sur 2024","Big Sur",2024-08-20 04:35:00,2024-08-20,04:35:00,15.27,"2024",2043
"201","Big Sur 2024","Big Sur",2024-08-20 04:40:00,2024-08-20,04:40:00,15.31,"2024",2043
"202","Big Sur 2024","Big Sur",2024-08-20 04:45:00,2024-08-20,04:45:00,15.27,"2024",2043
"203","Big Sur 2024","Big Sur",2024-08-20 04:50:00,2024-08-20,04:50:00,15.27,"2024",2043
"204","Big Sur 2024","Big Sur",2024-08-20 04:55:00,2024-08-20,04:55:00,15.23,"2024",2043
"205","Big Sur 2024","Big Sur",2024-08-20 05:00:00,2024-08-20,05:00:00,15.27,"2024",2043
"206","Big Sur 2024","Big Sur",2024-08-20 05:05:00,2024-08-20,05:05:00,15.27,"2024",2043
"207","Big Sur 2024","Big Sur",2024-08-20 05:10:00,2024-08-20,05:10:00,15.27,"2024",2043
"208","Big Sur 2024","Big Sur",2024-08-20 05:15:00,2024-08-20,05:15:00,15.23,"2024",2043
"209","Big Sur 2024","Big Sur",2024-08-20 05:20:00,2024-08-20,05:20:00,15.23,"2024",2043
"210","Big Sur 2024","Big Sur",2024-08-20 05:25:00,2024-08-20,05:25:00,15.23,"2024",2043
"211","Big Sur 2024","Big Sur",2024-08-20 05:30:00,2024-08-20,05:30:00,15.23,"2024",2043
"212","Big Sur 2024","Big Sur",2024-08-20 05:35:00,2024-08-20,05:35:00,15.23,"2024",2043
"213","Big Sur 2024","Big Sur",2024-08-20 05:40:00,2024-08-20,05:40:00,15.18,"2024",2043
"214","Big Sur 2024","Big Sur",2024-08-20 05:45:00,2024-08-20,05:45:00,15.23,"2024",2043
"215","Big Sur 2024","Big Sur",2024-08-20 05:50:00,2024-08-20,05:50:00,15.18,"2024",2043
"216","Big Sur 2024","Big Sur",2024-08-20 05:55:00,2024-08-20,05:55:00,15.14,"2024",2043
